MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
14.74,5.993817,-72.095074,1,M017697,0.0,0.0
14.63,6.0968235,-72.094989,1,M017913,0.0,0.0
14.52,6.005259,-72.094847,1,M018235,0.0,0.0
14.83,5.9870595,-72.094822,1,M018292,0.0,0.0
14.63,6.0765555,-72.094772,1,M018430,0.0,0.0
14.52,6.0166889999999995,-72.094728,1,M018539,0.0,0.0
14.53,6.040443,-72.094723,1,M018550,0.0,0.0
14.65,6.010857000000001,-72.094708,1,M018587,0.0,0.0
14.45,6.043476,-72.094625,1,M018778,0.0,0.0
14.57,6.0109005,-72.094562,1,M018908,0.0,0.0
14.62,5.972139,-72.094507,1,M019056,0.0,0.0
14.59,6.0226785,-72.09438,1,M019347,0.0,0.0
14.44,6.0487125,-72.094372,1,M019362,0.0,0.0
14.94,6.03549,-72.094366,1,M019378,0.0,0.0
14.64,6.0756555,-72.0943,1,M019525,0.0,0.0
14.93,6.028030500000001,-72.0942,1,M019769,0.0,0.0
14.91,6.0378045,-72.094198,1,M019771,0.0,0.0
14.68,6.0464055,-72.094187,1,M019792,0.0,0.0
14.45,5.9711115,-72.094131,1,M019928,0.0,0.0
14.64,6.053043000000001,-72.094048,1,M020133,0.0,0.0
14.33,6.022857,-72.094021,1,M020211,0.0,0.0
14.26,6.017341500000001,-72.093975,1,M020306,0.0,0.0
14.17,5.966499000000001,-72.093896,1,M020493,0.0,0.0
14.58,6.083796,-72.093829,1,M020651,0.0,0.0
14.82,6.0761115,-72.093762,1,M020813,0.0,0.0
14.41,5.9481209999999995,-72.093675,1,M021010,0.0,0.0
14.53,6.0047055,-72.093645,1,M021098,0.0,0.0
14.77,5.980479,-72.093501,1,M021436,0.0,0.0
14.46,5.938623,-72.093464,1,M021536,0.0,0.0
14.71,6.0188565,-72.093379,1,M021737,0.0,0.0
13.94,6.0288675000000005,-72.093306,1,M021920,0.0,0.0
14.6,6.0083295,-72.093305,1,M021922,0.0,0.0
14.57,6.063879,-72.093266,1,M022021,0.0,0.0
14.38,6.038727,-72.093259,1,M022034,0.0,0.0
13.48,6.0468735,-72.093177,1,M022233,0.0,0.0
14.72,5.9732579999999995,-72.093069,1,M022510,0.0,0.0
14.48,6.0405465,-72.092951,1,M022798,0.0,0.0
13.54,5.9362755,-72.092785,1,M023218,0.0,0.0
