MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M000872,0 24 7.49016,-72 6 21.1608,-0.95,-0.989,18.317,19.165,18.44
M000979,0 24 6.65424,-72 6 20.5524,-0.227,-0.419,18.649,19.517,18.61
M000984,0 24 7.39836,-72 6 20.5308,0.62,-0.148,19.977,21.816,20.18
M001015,0 24 6.81444,-72 6 20.3724,-0.488,0.284,17.525,18.242,17.65
M001021,0 24 6.5844,-72 6 20.3328,-0.344,-1.3,17.682,18.456,17.78
M001054,0 24 7.53192,-72 6 20.1708,0.775,0.297,18.771,19.789,18.93
M001077,0 24 6.97752,-72 6 20.0124,0.0178,-0.592,19.321,20.737,19.53
M001090,0 24 6.52284,-72 6 19.9368,-0.186,0.287,18.628,19.504,18.77
M001143,0 24 5.94144,-72 6 19.6452,0.193,0.304,17.754,18.491,17.87
M001158,0 24 10.64556,-72 6 19.5696,0.839,-0.0451,18.227,19.018,18.37
M001268,0 24 6.8472,-72 6 19.0152,0.0351,1.16,18.381,19.197,18.52
M001277,0 24 5.38992,-72 6 18.9756,0.217,0.451,18.608,19.447,18.71
M001284,0 24 5.688,-72 6 18.9252,0.562,0.365,19.057,20.158,19.2
M001285,0 24 11.03904,-72 6 18.918,0.244,0.142,18.928,19.974,19.07
M001290,0 24 7.30692,-72 6 18.9072,0.832,0.208,20.187,22.097,20.43
M001292,0 24 10.39284,-72 6 18.8964,-0.124,0.005,18.056,18.807,18.18
M001293,0 24 10.88388,-72 6 18.8928,-0.426,-0.69,17.801,18.527,17.91
M001313,0 24 5.97096,-72 6 18.7776,0.5,0.132,18.382,19.627,18.62
M001325,0 24 6.90084,-72 6 18.7128,2.87,1.53,20.062,21.778,20.19
M001332,0 24 6.55596,-72 6 18.6804,0.438,0.529,17.727,18.527,17.85
M001376,0 24 6.32448,-72 6 18.4392,-0.292,-0.158,18.276,19.116,18.38
M001399,0 24 11.33712,-72 6 18.3168,0.777,-1.42,16.771,18.38,17.04
M001418,0 24 10.08288,-72 6 18.2484,-0.0212,-0.859,19.667,21.203,19.84
M001429,0 24 5.82984,-72 6 18.1908,-0.119,0.0766,17.863,18.646,18.0
M001446,0 24 5.60124,-72 6 18.072,0.68,0.132,16.919,18.547,17.18
M001457,0 24 11.3904,-72 6 18.054,0.981,0.426,19.13,20.184,19.16
M001487,0 24 4.18644,-72 6 17.928,0.521,0.591,19.663,21.357,19.81
M001493,0 24 11.6622,-72 6 17.8884,0.695,0.49,18.188,18.981,18.33
M001496,0 24 10.41696,-72 6 17.8812,-0.193,-0.426,18.493,19.341,18.65
M001501,0 24 11.17692,-72 6 17.8704,-0.0829,-0.397,17.94,18.677,18.04
M001513,0 24 6.17796,-72 6 17.8308,0.312,1.65,20.005,22.013,20.16
M001564,0 24 4.04748,-72 6 17.6112,0.185,0.868,17.626,18.394,17.75
M001575,0 24 11.76444,-72 6 17.5572,-0.961,-0.944,19.859,21.601,19.96
M001578,0 24 4.42584,-72 6 17.5392,-0.167,0.664,16.632,18.229,16.89
M001581,0 24 10.12572,-72 6 17.5248,0.844,-0.156,17.626,18.42,17.73
M001591,0 24 5.22144,-72 6 17.5032,0.392,0.607,18.009,18.779,18.12
M001601,0 24 6.42636,-72 6 17.4708,0.191,0.873,18.519,19.418,18.66
M001608,0 24 3.80556,-72 6 17.4528,-1.05,0.0264,18.344,19.163,18.46
M001610,0 24 3.66588,-72 6 17.4492,-1.27,0.919,18.329,19.175,18.43
M001618,0 24 11.061,-72 6 17.4204,0.0489,0.431,17.671,18.426,17.78
M001622,0 24 5.42304,-72 6 17.406,1.51,0.0606,19.803,21.382,19.99
M001630,0 24 10.62828,-72 6 17.3664,-0.615,-0.587,17.784,18.501,17.92
M001658,0 24 11.817,-72 6 17.2404,0.0518,-0.107,18.211,19.007,18.34
M001659,0 24 11.727,-72 6 17.2404,-1.15,1.74,19.537,21.025,19.65
M001669,0 24 4.02516,-72 6 17.208,0.232,0.917,19.17,20.502,19.4
M001679,0 24 5.88528,-72 6 17.1504,-0.301,-0.251,17.331,18.226,17.5
M001692,0 24 11.35476,-72 6 17.082,-0.628,0.518,18.086,18.878,18.21
M001728,0 24 6.62328,-72 6 16.938,-0.292,0.113,18.162,18.956,18.26
M001746,0 24 6.11928,-72 6 16.8804,-0.185,-0.444,17.496,18.245,17.69
M001764,0 24 11.19888,-72 6 16.8192,-0.324,0.169,17.639,18.426,17.76
M001770,0 24 10.65168,-72 6 16.8048,0.983,0.247,18.608,19.45,18.73
M001772,0 24 6.8994,-72 6 16.7976,-0.502,0.763,17.891,18.633,18.0
M001777,0 24 7.12188,-72 6 16.776,-0.106,-0.684,17.367,18.234,17.51
M001780,0 24 6.49764,-72 6 16.7472,-0.153,0.625,19.402,20.862,19.61
M001784,0 24 4.93128,-72 6 16.7364,-1.04,0.177,19.59,21.311,19.75
M001792,0 24 5.59116,-72 6 16.6968,-0.286,-0.426,17.423,18.254,17.55
M001803,0 24 10.5354,-72 6 16.6572,1.34,-2.12,18.742,19.804,18.94
M001831,0 24 6.40512,-72 6 16.5348,0.184,0.622,18.093,18.889,18.21
M001867,0 24 12.76164,-72 6 16.3548,0.974,0.271,17.907,19.013,18.03
M001873,0 24 2.45052,-72 6 16.326,0.859,0.107,17.691,18.445,17.8
M001874,0 24 3.64824,-72 6 16.326,0.727,0.581,18.415,19.319,18.57
M001880,0 24 11.7792,-72 6 16.308,-0.256,-0.234,19.519,21.275,19.71
M001890,0 24 10.2672,-72 6 16.2612,-0.35,0.851,17.885,18.562,17.95
M001897,0 24 2.56284,-72 6 16.2432,0.553,-0.0278,18.245,19.018,18.38
M001906,0 24 2.98764,-72 6 16.2072,-2.01,0.187,17.276,18.305,17.44
M001914,0 24 6.2442,-72 6 16.1568,0.197,0.415,18.78,19.799,18.87
M001932,0 24 4.84632,-72 6 16.0776,0.746,-1.02,19.79,21.421,19.98
M001934,0 24 2.3184,-72 6 16.074,0.457,-0.0162,19.3,20.619,19.46
M001943,0 24 12.10716,-72 6 16.038,-0.327,0.14,19.016,20.096,19.14
M001963,0 24 6.35832,-72 6 15.9516,-0.478,0.765,19.496,20.892,19.62
M001978,0 24 12.81996,-72 6 15.8724,-0.0588,-0.0757,18.33,19.15,18.48
M001981,0 24 2.73384,-72 6 15.8652,-1.38,0.564,18.691,19.721,18.85
M002001,0 24 3.61584,-72 6 15.7896,-0.0346,0.826,19.214,20.35,19.27
M002002,0 24 10.11672,-72 6 15.7896,0.815,-1.34,19.504,21.04,19.72
M002011,0 24 3.55464,-72 6 15.7608,0.00952,0.014,19.357,20.736,19.5
M002013,0 24 5.3352,-72 6 15.7572,-1.63,-0.463,19.238,20.471,19.35
M002016,0 24 11.14452,-72 6 15.75,0.101,-0.415,17.569,18.303,17.71
M002018,0 24 3.22812,-72 6 15.7392,-0.725,-0.258,17.328,18.189,17.48
M002019,0 24 6.27912,-72 6 15.7356,0.55,1.22,19.855,21.615,20.04
M002025,0 24 2.18232,-72 6 15.7176,0.362,0.715,19.828,21.616,20.09
M002028,0 24 2.98512,-72 6 15.7104,0.42,0.736,18.413,19.279,18.58
M002029,0 24 5.72112,-72 6 15.7068,0.521,-0.608,18.709,19.71,18.86
M002035,0 24 1.8198,-72 6 15.6852,1.24,-0.966,19.186,20.359,19.33
M002042,0 24 3.43044,-72 6 15.6456,0.0264,0.645,19.745,21.296,19.88
M002044,0 24 4.12992,-72 6 15.6312,-0.18,0.0347,18.886,19.968,19.04
M002059,0 24 6.63192,-72 6 15.5808,-0.717,-0.287,19.767,21.041,19.67
M002072,0 24 4.55832,-72 6 15.5304,-0.0775,-0.332,19.846,21.663,20.1
M002077,0 24 11.79756,-72 6 15.5016,-0.471,0.924,17.788,18.533,17.89
M002095,0 24 5.36508,-72 6 15.4116,0.0948,-0.249,18.376,19.241,18.51
M002103,0 24 1.91448,-72 6 15.3504,-0.261,-0.049,19.747,21.367,19.96
M002106,0 24 9.97128,-72 6 15.336,-0.332,-0.0632,19.313,20.666,19.49
M002125,0 24 3.33648,-72 6 15.2604,0.909,-0.508,18.302,19.123,18.42
M002129,0 24 12.438,-72 6 15.2568,0.829,0.0623,18.945,20.037,19.14
M002135,0 24 11.93544,-72 6 15.2316,-0.313,0.0602,18.131,18.932,18.23
M002140,0 24 6.04368,-72 6 15.2244,1.23,-0.824,20.005,21.913,20.27
M002164,0 24 2.91132,-72 6 15.12,-1.09,0.4,18.229,19.004,18.34
M002171,0 24 12.07152,-72 6 15.0912,-0.657,0.0209,19.251,20.52,19.42
M002175,0 24 6.73956,-72 6 15.0732,-1.71,-0.121,17.6,18.378,17.68
M002180,0 24 13.07088,-72 6 15.0552,-0.597,0.332,19.44,20.864,19.63
M002184,0 24 2.67192,-72 6 15.048,-0.381,-0.204,18.813,19.737,18.92
M002189,0 24 10.89828,-72 6 15.0228,-0.215,0.934,18.731,19.623,18.83
M002192,0 24 10.57464,-72 6 15.0156,0.397,0.739,17.255,18.235,17.47
M002227,0 24 6.36336,-72 6 14.9004,0.286,0.406,19.243,20.453,19.39
M002249,0 24 1.32588,-72 6 14.7708,0.888,0.507,18.821,19.839,19.0
M002259,0 24 2.21364,-72 6 14.7204,0.804,-0.229,18.192,19.057,18.39
M002260,0 24 11.3814,-72 6 14.7204,0.474,0.457,17.966,18.743,18.15
M002268,0 24 4.887,-72 6 14.688,-0.433,-0.146,18.048,18.805,18.17
M002271,0 24 0.90612,-72 6 14.6772,0.327,-0.858,17.927,18.67,18.03
M002273,0 24 11.80512,-72 6 14.67,0.957,-0.193,17.846,18.602,18.04
M002288,0 24 13.19652,-72 6 14.6196,-0.438,0.179,18.451,19.278,18.58
M002300,0 24 3.8196,-72 6 14.5692,0.839,-0.331,19.235,20.553,19.43
M002339,0 24 10.9674,-72 6 14.4468,-0.231,1.06,19.17,20.382,19.32
M002340,0 24 10.25928,-72 6 14.4432,0.63,-0.744,19.082,20.353,19.27
M002353,0 24 1.70136,-72 6 14.4036,0.597,-0.458,19.25,20.561,19.49
M002361,0 24 13.78116,-72 6 14.3568,1.27,-0.312,18.982,20.181,19.16
M002369,0 24 9.78228,-72 6 14.3388,-0.136,0.27,18.035,18.772,18.16
M002370,0 24 5.50404,-72 6 14.3352,-0.514,-0.408,16.932,18.45,17.15
M002372,0 24 12.0366,-72 6 14.3208,-0.135,0.497,19.623,21.332,19.88
M002396,0 24 1.89792,-72 6 14.2452,-0.149,-0.815,18.464,19.272,18.59
M002402,0 24 4.1706,-72 6 14.22,-0.829,1.2,19.401,20.749,19.58
M002416,0 24 10.76292,-72 6 14.166,1.22,0.107,18.696,19.61,18.81
M002419,0 24 6.69312,-72 6 14.1588,0.414,-0.838,17.513,18.369,17.62
M002421,0 24 6.822,-72 6 14.1516,1.06,0.351,17.936,18.693,18.03
M002425,0 24 5.01444,-72 6 14.1264,0.283,-0.0664,19.281,20.485,19.44
M002432,0 24 13.23216,-72 6 14.0904,0.371,-0.575,17.356,18.265,17.5
M002434,0 24 5.355,-72 6 14.0796,-0.95,0.612,19.972,21.827,20.21
M002448,0 24 5.913,-72 6 14.0364,-0.505,0.225,17.556,18.31,17.67
M002453,0 24 1.55844,-72 6 14.0256,-0.925,-0.589,18.779,19.777,18.94
M002462,0 24 0.16884,-72 6 13.986,0.328,-0.243,19.217,20.488,19.4
M002464,0 24 12.01536,-72 6 13.9752,0.458,0.438,19.371,20.739,19.53
M002468,0 24 1.75716,-72 6 13.95,-1.31,-0.198,18.525,19.43,18.65
M002475,0 24 10.84032,-72 6 13.9248,0.241,0.878,19.728,21.305,19.87
M002477,0 24 5.20344,-72 6 13.9248,1.19,-1.61,19.456,20.987,19.71
M002482,0 24 1.14624,-72 6 13.9068,0.565,-1.42,17.142,18.579,17.38
M002487,0 24 6.55992,-72 6 13.8816,-0.847,0.241,18.297,19.098,18.41
M002492,0 24 10.61244,-72 6 13.8708,-0.424,-0.94,17.259,18.581,17.45
M002517,0 24 12.10932,-72 6 13.77,-0.721,0.604,17.871,18.606,17.99
M002549,0 24 13.72716,-72 6 13.6584,-0.0991,-0.00783,19.279,20.59,19.43
M002551,0 24 0.59724,-72 6 13.6548,-0.859,0.0854,17.459,18.272,17.6
M002555,0 24 12.2994,-72 6 13.6476,0.255,-0.406,17.735,18.518,17.89
M002560,0 24 6.69204,-72 6 13.6332,0.413,0.601,19.482,20.99,19.68
M002568,0 24 2.133,-72 6 13.6116,-0.945,0.385,17.25,18.331,17.46
M002569,0 24 0.85032,-72 6 13.608,-0.017,-0.631,19.773,21.345,19.9
M002583,0 24 1.7928,-72 6 13.5684,-0.491,-0.4,18.624,19.535,18.73
M002585,0 24 2.61288,-72 6 13.5612,-1.99,-0.347,18.959,19.984,19.12
M002600,0 24 5.68908,-72 6 13.482,-0.016,0.91,18.471,19.345,18.61
M002606,0 24 4.25016,-72 6 13.4676,0.405,-0.873,17.203,18.611,17.43
M002614,0 24 0.14904,-72 6 13.4244,0.185,-0.408,19.646,21.134,19.85
M002615,0 24 9.69372,-72 6 13.4172,0.592,-0.469,18.526,19.414,18.68
M002616,0 24 3.98592,-72 6 13.4136,0.286,1.15,17.874,18.596,17.98
M002623,0 23 59.83872,-72 6 13.3884,-0.357,0.628,19.244,20.567,19.48
M002634,0 24 11.5614,-72 6 13.3416,-0.797,-0.785,19.348,20.68,19.53
M002652,0 24 12.4722,-72 6 13.266,-0.172,-0.0997,17.504,18.314,17.66
M002653,0 24 5.20668,-72 6 13.2552,-1.21,-1.26,19.168,20.413,19.34
M002659,0 24 6.35724,-72 6 13.2372,-0.711,-0.75,18.172,19.004,18.32
M002663,0 24 12.86964,-72 6 13.2228,-0.347,-0.714,18.842,19.806,18.97
M002673,0 24 0.86652,-72 6 13.1868,-0.488,-0.186,18.124,18.948,18.3
M002691,0 24 5.75856,-72 6 13.1364,0.225,-0.569,18.388,19.218,18.52
M002704,0 24 10.04652,-72 6 13.0896,0.181,0.932,17.502,18.269,17.64
M002711,0 24 11.99952,-72 6 13.0752,0.737,-0.685,18.793,19.792,18.87
M002728,0 24 2.05524,-72 6 13.0212,-0.848,1.22,18.699,19.671,18.84
M002743,0 24 0.78696,-72 6 12.9744,0.151,-0.303,19.867,21.552,20.07
M002759,0 24 1.01448,-72 6 12.9348,0.221,0.259,18.609,19.471,18.75
M002760,0 24 3.5154,-72 6 12.9348,1.14,0.193,19.14,20.323,19.29
M002765,0 24 10.89936,-72 6 12.9168,-0.388,0.349,19.202,20.458,19.38
M002770,0 24 5.18868,-72 6 12.9024,-0.59,-0.413,19.993,21.81,20.13
M002784,0 24 5.2758,-72 6 12.852,0.354,0.42,19.569,21.182,19.79
M002785,0 24 0.18396,-72 6 12.8412,-0.957,-1.78,17.47,18.32,17.84
M002797,0 24 0.47484,-72 6 12.7908,-0.025,0.0356,17.801,18.543,17.94
M002800,0 24 6.85512,-72 6 12.7872,0.656,0.0883,18.856,19.817,18.96
M002810,0 24 10.18332,-72 6 12.7476,0.291,0.0833,19.288,20.542,19.42
M002813,0 24 2.39076,-72 6 12.726,-0.815,-1.73,18.282,19.086,18.41
M002825,0 24 2.9016,-72 6 12.6756,1.0,0.252,19.574,21.148,19.78
M002832,0 23 59.35416,-72 6 12.6216,-0.974,0.0717,19.031,20.124,19.22
M002833,0 24 4.61916,-72 6 12.618,-0.153,-0.0577,17.837,18.612,17.97
M002837,0 24 5.73012,-72 6 12.6108,0.332,0.555,17.798,18.56,17.91
M002852,0 24 10.42092,-72 6 12.564,-1.65,-0.355,18.274,18.938,18.32
M002860,0 24 3.8826,-72 6 12.546,0.274,0.265,19.089,20.259,19.26
M002871,0 24 1.24704,-72 6 12.5064,0.368,0.447,19.161,20.361,19.33
M002875,0 24 2.1564,-72 6 12.5028,-0.923,0.535,18.426,19.246,18.54
M002881,0 24 10.28736,-72 6 12.4848,0.0109,0.656,19.236,20.464,19.39
M002890,0 24 6.75864,-72 6 12.4704,-0.414,0.239,19.256,20.663,19.43
M002904,0 24 4.40136,-72 6 12.4236,-0.263,0.251,19.883,21.668,20.1
M002914,0 24 0.625320000001,-72 6 12.4056,0.759,-0.954,19.342,20.658,19.53
M002916,0 24 1.00332,-72 6 12.4056,0.368,0.157,17.332,18.201,17.49
M002917,0 24 11.898,-72 6 12.402,0.429,0.956,18.175,18.99,18.32
M002918,0 23 59.03088,-72 6 12.3948,-0.895,0.0232,18.991,20.133,19.21
M002931,0 24 12.56148,-72 6 12.3552,0.0305,-2.28,19.727,21.331,19.88
M002932,0 24 13.284,-72 6 12.348,-4.87,-0.347,20.201,21.916,20.4
M002940,0 24 11.16252,-72 6 12.3336,0.134,0.017,16.934,18.531,17.19
M002942,0 23 59.53272,-72 6 12.33,-0.33,-0.712,19.278,21.083,19.6
M002944,0 24 12.85128,-72 6 12.3264,-0.408,-0.617,17.274,18.328,17.47
M002953,0 24 14.3712,-72 6 12.2976,0.275,0.276,17.802,18.578,17.92
M002956,0 24 6.49908,-72 6 12.2904,2.02,-0.501,19.374,21.405,19.71
M002965,0 24 10.00584,-72 6 12.2652,-0.379,-0.0138,17.27,18.367,17.45
M002979,0 23 58.62516,-72 6 12.2364,-0.893,-0.0303,19.2,20.417,19.39
M002984,0 24 1.12176,-72 6 12.2256,0.312,-0.131,18.401,19.272,18.53
M002987,0 24 0.48672,-72 6 12.2076,-0.3,-0.127,17.534,18.303,17.68
M002991,0 24 10.85436,-72 6 12.1896,1.03,-0.0952,19.366,21.056,19.67
M002995,0 24 1.7028,-72 6 12.1788,0.034,0.372,17.674,18.367,17.79
M002996,0 24 9.55656,-72 6 12.1644,-0.072,-1.19,19.816,21.641,20.1
M002998,0 24 12.37212,-72 6 12.1572,-0.709,0.612,20.112,22.093,20.33
M003006,0 24 10.65456,-72 6 12.1212,-0.523,-0.739,19.634,21.215,19.82
M003008,0 24 14.66784,-72 6 12.1176,-0.228,-0.81,18.445,19.322,18.59
M003015,0 24 10.25136,-72 6 12.0816,1.22,0.496,20.173,22.284,20.44
M003022,0 23 59.16012,-72 6 12.0456,-0.0288,0.449,18.748,19.738,18.89
M003038,0 24 9.837,-72 6 11.988,-0.414,0.288,18.482,19.278,18.62
M003042,0 24 0.73368,-72 6 11.97,0.476,0.256,19.553,21.058,19.77
M003063,0 24 12.64392,-72 6 11.8872,0.348,-1.06,17.193,18.699,17.45
M003066,0 24 12.96144,-72 6 11.8656,-1.66,-0.906,19.247,20.513,19.34
M003069,0 24 4.33044,-72 6 11.8584,-0.96,-0.514,19.465,20.889,19.67
M003087,0 24 5.74596,-72 6 11.8224,0.318,-0.699,17.155,18.194,17.36
M003090,0 24 13.69944,-72 6 11.8152,1.03,-0.527,18.875,20.301,19.12
M003093,0 24 3.89844,-72 6 11.8044,-0.527,-0.192,19.631,21.189,19.81
M003103,0 24 13.30704,-72 6 11.7792,0.0162,0.34,18.459,19.259,18.5
M003104,0 24 10.79532,-72 6 11.7792,-0.774,0.0736,19.571,21.053,19.72
M003106,0 24 0.41652,-72 6 11.7756,-0.121,0.69,17.773,18.453,17.89
M003114,0 23 59.65152,-72 6 11.7432,-0.557,-0.251,17.709,18.446,17.82
M003115,0 24 6.71256,-72 6 11.7432,-0.549,0.494,17.403,18.213,17.6
M003125,0 24 1.90584,-72 6 11.7288,0.405,0.383,19.622,21.184,19.81
M003126,0 24 4.51836,-72 6 11.7252,-0.915,-0.948,18.909,19.995,19.07
M003131,0 24 15.00192,-72 6 11.6964,-1.07,-0.0613,18.575,19.78,18.78
M003134,0 24 14.2956,-72 6 11.6892,-0.496,0.563,19.308,20.578,19.44
M003138,0 23 59.84808,-72 6 11.6676,0.382,0.131,19.327,20.556,19.5
M003139,0 24 6.33564,-72 6 11.664,-0.408,0.511,19.01,20.139,19.18
M003156,0 24 3.15216,-72 6 11.6136,0.337,0.393,18.714,19.811,18.94
M003159,0 24 13.83228,-72 6 11.6064,0.0389,0.941,20.051,22.031,20.22
M003164,0 24 12.98124,-72 6 11.5956,1.67,1.2,19.632,21.181,19.75
M003169,0 24 10.52316,-72 6 11.5848,0.536,1.09,17.394,18.164,17.52
M003174,0 24 12.09312,-72 6 11.5668,0.243,0.306,18.432,19.306,18.59
M003176,0 24 2.21148,-72 6 11.556,0.355,-0.0491,18.28,19.095,18.41
M003181,0 24 2.92068,-72 6 11.5344,0.294,0.135,17.896,18.632,18.04
M003182,0 24 14.11668,-72 6 11.5308,0.124,-0.596,17.458,18.265,17.6
M003189,0 24 13.33404,-72 6 11.5092,1.55,2.47,19.291,20.607,19.38
M003196,0 24 12.54204,-72 6 11.484,-0.464,1.38,19.283,20.6,19.4
M003219,0 24 15.13872,-72 6 11.394,0.603,-0.359,20.31,22.277,20.42
M003223,0 24 11.27412,-72 6 11.376,-0.499,-0.0647,18.149,19.153,18.28
M003227,0 24 12.92904,-72 6 11.3688,-0.0845,-0.928,19.809,21.494,19.88
M003229,0 24 3.50928,-72 6 11.358,-0.0302,0.375,19.813,21.639,20.07
M003230,0 24 14.45148,-72 6 11.3544,-0.138,-0.522,18.188,19.006,18.3
M003237,0 24 2.529,-72 6 11.34,-0.231,-0.976,18.534,19.565,18.73
M003253,0 24 3.6144,-72 6 11.2752,0.539,-0.429,19.196,20.43,19.36
M003258,0 24 15.2316,-72 6 11.2608,-1.61,0.397,19.319,20.615,19.46
M003260,0 24 4.58388,-72 6 11.2572,0.508,0.32,18.654,19.439,18.72
M003266,0 24 9.66636,-72 6 11.232,0.0864,-0.553,17.313,18.244,17.48
M003284,0 24 0.42084,-72 6 11.1888,-1.62,-0.941,18.645,19.546,18.78
M003286,0 24 5.5836,-72 6 11.1744,0.931,0.901,19.74,21.279,19.97
M003292,0 24 15.05484,-72 6 11.1636,0.05,0.0404,18.306,19.084,18.41
M003301,0 24 1.54944,-72 6 11.1348,0.605,0.255,18.415,19.328,18.6
M003317,0 24 6.40116,-72 6 11.088,-0.113,-0.375,17.52,18.346,17.64
M003318,0 24 1.43424,-72 6 11.0844,0.645,0.537,18.722,19.557,18.78
M003321,0 23 58.7238,-72 6 11.0808,-0.489,-0.0328,18.279,19.121,18.44
M003325,0 24 9.77148,-72 6 11.0664,-0.436,-0.0231,18.233,18.987,18.32
M003333,0 24 12.8502,-72 6 11.0304,0.456,0.173,17.665,18.407,17.79
M003337,0 24 3.9816,-72 6 11.0196,-0.0296,-0.132,17.834,18.596,17.93
M003339,0 24 11.46888,-72 6 11.016,-0.3,-0.775,18.402,19.248,18.56
M003343,0 24 1.87524,-72 6 11.0088,0.966,-0.823,19.707,21.234,19.8
M003348,0 24 12.48264,-72 6 10.9764,0.941,-1.45,19.054,20.28,19.24
M003350,0 24 3.34224,-72 6 10.9728,0.458,-0.636,18.104,18.864,18.23
M003357,0 24 0.93492,-72 6 10.9476,0.67,-1.48,19.59,21.176,19.78
M003363,0 24 5.28336,-72 6 10.9296,0.385,1.64,17.055,18.221,17.34
M003365,0 24 11.6874,-72 6 10.9224,-0.938,0.948,17.972,18.727,18.1
M003366,0 24 3.11004,-72 6 10.9188,-0.0339,-0.0512,18.219,18.996,18.32
M003370,0 23 59.97804,-72 6 10.908,1.21,0.356,19.772,21.406,20.02
M003381,0 24 10.15488,-72 6 10.8756,-0.768,0.153,19.046,20.175,19.19
M003387,0 24 10.81044,-72 6 10.8504,-0.583,0.238,18.025,18.788,18.16
M003390,0 24 12.00996,-72 6 10.8432,0.107,0.245,17.53,18.29,17.66
M003397,0 24 11.3382,-72 6 10.818,1.12,1.19,19.218,20.875,19.63
M003398,0 24 10.94148,-72 6 10.818,0.394,-0.637,18.969,20.064,19.11
M003399,0 24 2.58192,-72 6 10.8144,0.902,0.174,18.947,20.024,19.11
M003408,0 24 12.32604,-72 6 10.7892,0.582,-0.368,18.957,20.031,19.07
M003409,0 24 14.364,-72 6 10.7856,3.05,0.728,19.495,21.188,19.75
M003413,0 24 14.89536,-72 6 10.7784,0.735,0.563,19.212,20.46,19.39
M003415,0 24 3.58776,-72 6 10.7784,1.31,1.27,19.472,21.137,19.81
M003421,0 24 9.92952,-72 6 10.764,0.487,-0.55,18.952,20.043,19.1
M003428,0 24 5.10084,-72 6 10.7532,0.41,0.314,17.256,18.374,17.44
M003432,0 24 11.1564,-72 6 10.746,0.554,0.219,20.109,22.199,20.38
M003436,0 24 1.11564,-72 6 10.7352,0.362,0.281,18.186,19.042,18.36
M003437,0 24 3.75372,-72 6 10.728,-0.0938,-0.181,18.002,18.738,18.12
M003439,0 23 58.90488,-72 6 10.7244,-0.288,-0.4,18.87,19.859,18.95
M003450,0 24 0.0669600000002,-72 6 10.692,1.47,-0.153,19.55,21.071,19.78
M003452,0 24 3.00456,-72 6 10.6812,0.995,-0.218,18.673,19.671,18.8
M003463,0 24 12.43044,-72 6 10.6524,0.735,0.223,18.409,19.273,18.52
M003464,0 24 0.89208,-72 6 10.6488,0.17,0.0253,19.062,20.142,19.18
M003469,0 24 14.63868,-72 6 10.602,0.0706,-0.233,17.618,18.395,17.74
M003476,0 24 4.56588,-72 6 10.5804,0.412,0.883,18.122,19.019,18.3
M003479,0 24 14.29812,-72 6 10.5732,0.72,0.177,18.828,19.835,18.98
M003481,0 24 15.597,-72 6 10.566,-0.469,-0.749,18.32,19.128,18.42
M003482,0 24 5.97132,-72 6 10.566,0.781,0.125,18.934,20.003,19.1
M003493,0 24 13.9716,-72 6 10.5336,-0.748,0.0218,19.587,21.156,19.73
M003496,0 24 0.22752,-72 6 10.5228,-0.432,1.03,17.331,18.23,17.49
M003498,0 23 59.30916,-72 6 10.5192,-0.0736,1.13,18.541,19.465,18.69
M003502,0 24 13.30488,-72 6 10.512,0.2,0.995,20.028,21.896,20.33
M003503,0 24 4.3272,-72 6 10.512,0.442,-0.273,19.15,20.896,19.4
M003515,0 24 6.3882,-72 6 10.476,-0.611,-1.55,18.894,19.959,19.03
M003521,0 24 3.87216,-72 6 10.4544,-1.11,-0.739,19.004,20.089,19.14
M003532,0 24 6.46956,-72 6 10.422,-0.219,-0.859,18.516,19.428,18.65
M003541,0 24 12.30336,-72 6 10.3752,-1.52,-1.55,19.936,21.796,20.14
M003544,0 23 59.631,-72 6 10.368,-0.903,0.402,17.794,18.533,17.93
M003547,0 24 0.48708,-72 6 10.3644,-0.197,1.51,18.554,19.496,18.74
M003559,0 24 10.8522,-72 6 10.35,-0.633,-0.493,17.303,18.259,17.45
M003570,0 24 1.4994,-72 6 10.3248,0.379,0.77,17.517,18.319,17.63
M003576,0 23 58.82604,-72 6 10.3176,-0.939,1.22,17.755,18.527,17.9
M003581,0 24 11.37852,-72 6 10.3032,-0.454,1.4,20.287,22.52,20.58
M003590,0 23 58.92504,-72 6 10.2672,0.303,-0.339,17.061,18.547,17.32
M003599,0 24 15.70932,-72 6 10.224,1.67,-0.9,19.715,21.417,19.85
M003602,0 24 15.82056,-72 6 10.2204,0.696,1.2,18.1,18.481,17.63
M003606,0 24 13.44132,-72 6 10.2024,-0.0749,-0.578,18.374,19.166,18.54
M003607,0 24 1.3212,-72 6 10.2024,-0.777,-0.384,17.695,18.562,17.91
M003609,0 24 6.60744,-72 6 10.1988,-0.769,0.405,18.21,19.013,18.34
M003633,0 24 12.33,-72 6 10.1412,-0.249,0.565,19.656,21.29,19.81
M003636,0 24 10.3122,-72 6 10.134,-0.176,0.0506,20.374,22.536,20.62
M003640,0 24 1.3986,-72 6 10.1268,-0.0515,-0.186,18.384,19.246,18.48
M003643,0 24 5.13144,-72 6 10.1232,-0.467,0.0321,18.064,18.82,18.15
M003644,0 24 0.903600000001,-72 6 10.116,-0.329,0.5,19.195,20.393,19.31
M003655,0 24 14.56668,-72 6 10.0872,-0.254,0.133,18.206,19.049,18.35
M003678,0 24 12.73824,-72 6 10.0152,0.831,-0.377,17.833,18.57,17.95
