MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M074826,0 23 51.53136,-72 4 34.3452,-1.55,-0.58,18.982,20.109,19.21
M074843,0 23 46.29588,-72 4 34.3236,-0.693,0.459,19.095,20.159,19.3
M074849,0 24 4.7592,-72 4 34.32,0.186,-0.139,18.675,19.644,18.85
M074869,0 24 7.06428,-72 4 34.2948,-0.0718,-1.29,19.638,21.302,19.85
M074879,0 24 6.78564,-72 4 34.2804,-0.0217,-0.158,19.111,20.616,19.56
M074884,0 24 4.27068,-72 4 34.2696,-1.22,-0.0932,19.615,21.004,19.41
M074885,0 23 47.07744,-72 4 34.2696,0.143,0.0692,18.565,19.462,18.78
M074904,0 24 6.38532,-72 4 34.2516,-0.704,-0.452,17.424,18.258,17.47
M074919,0 23 53.03508,-72 4 34.2408,-0.344,-0.266,17.888,18.625,18.1
M074921,0 24 6.12684,-72 4 34.2372,-1.26,-0.399,18.099,19.168,18.46
M074925,0 23 57.59484,-72 4 34.2336,0.301,-0.319,17.549,18.309,17.72
M074927,0 23 49.74756,-72 4 34.23,-1.13,-0.165,18.49,19.373,18.71
M074956,0 23 53.82708,-72 4 34.1976,-1.41,-2.73,19.78,21.519,20.08
M074958,0 24 5.27292,-72 4 34.1976,0.636,-0.367,17.529,18.341,17.24
M074973,0 23 49.38432,-72 4 34.1832,0.721,0.595,19.347,20.633,19.51
M074989,0 23 47.4828,-72 4 34.1724,-0.332,-0.061,17.916,18.66,18.12
M074995,0 24 4.64796,-72 4 34.1652,-0.117,-0.106,18.187,18.995,18.35
M074996,0 24 5.33736,-72 4 34.1616,0.69,0.155,17.819,18.62,17.97
M074997,0 23 53.94192,-72 4 34.1616,0.324,-0.157,19.1,20.277,19.36
M075013,0 23 56.53536,-72 4 34.1472,0.109,0.803,18.719,19.708,18.98
M075019,0 24 4.69224,-72 4 34.1364,0.474,-0.387,17.631,18.39,17.76
M075029,0 24 6.48288,-72 4 34.122,0.705,0.00578,16.981,18.539,17.25
M075040,0 23 56.31504,-72 4 34.1076,-0.96,0.321,18.013,18.795,18.26
M075043,0 24 4.5018,-72 4 34.104,0.966,0.737,17.335,18.482,17.52
M075045,0 24 6.93864,-72 4 34.104,0.0235,0.238,17.186,18.138,17.33
M075055,0 24 5.06592,-72 4 34.086,-0.731,-1.54,18.653,19.587,18.8
M075063,0 23 45.04056,-72 4 34.0824,0.193,-0.154,18.976,20.101,19.15
M075072,0 24 6.99516,-72 4 34.0752,0.85,-0.557,19.423,20.82,19.55
M075073,0 24 4.44024,-72 4 34.0716,0.3,-0.428,17.558,18.399,17.67
M075091,0 24 6.23052,-72 4 34.0572,0.828,0.0223,17.583,18.305,17.62
M075092,0 23 51.73188,-72 4 34.0572,-0.23,-0.0474,17.552,18.333,17.77
M075098,0 24 6.5268,-72 4 34.05,0.276,-0.567,18.243,19.046,18.38
M075103,0 24 4.77936,-72 4 34.05,-0.374,-0.648,18.279,19.067,18.39
M075114,0 24 4.8708,-72 4 34.0356,-0.297,-0.0706,18.144,18.913,18.23
M075118,0 23 55.5702,-72 4 34.0284,1.34,-0.28,18.727,19.957,19.0
M075123,0 24 5.45544,-72 4 34.0248,-0.749,0.0132,18.093,18.858,18.2
M075124,0 23 44.83032,-72 4 34.0248,0.56,0.379,18.29,19.05,18.51
M075126,0 24 4.91544,-72 4 34.0212,0.0886,0.616,17.289,18.309,17.46
M075132,0 23 52.27188,-72 4 34.0104,0.723,-1.09,18.533,19.415,18.71
M075134,0 24 5.87376,-72 4 34.0068,0.645,-1.18,18.641,19.614,18.48
