MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
82054,4.6633,26.8764,,82054,13.24,23.9,1,100.0,6.027834,-72.073818,0.0,0.0
99642,-40.7367,50.8639,,99642,13.24,25.19,1,100.0,5.986874,-72.067155,0.0,0.0
44461,-14.8949,-14.5095,,44461,13.25,23.32,1,99.94,6.010174,-72.085314,0.0,0.0
127286,46.8836,110.1414,,127286,13.26,24.5,1,100.0,6.065884,-72.050689,0.0,0.0
42754,0.2784,-16.5332,,42754,13.28,20.98,1,100.0,6.023877,-72.085876,0.0,0.0
122005,33.886,93.9822,,122005,13.28,23.44,1,100.0,6.054176,-72.055177,0.0,0.0
59001,25.3682,1.0219,,59001,13.29,20.66,1,100.0,6.046529,-72.081,0.0,0.0
27325,-27.3808,-35.6424,,27325,13.3,24.09,1,100.0,5.998891,-72.091184,0.0,0.0
46415,-4.0732,-12.3743,,46415,13.3,19.26,1,99.96,6.019947,-72.084721,0.0,0.0
75156,45.9096,18.6303,,75156,13.3,23.23,1,100.0,6.065062,-72.076108,0.0,0.0
122386,-13.7307,94.9712,,122386,13.3,24.92,1,100.0,6.011246,-72.054903,0.0,0.0
56177,24.0252,-1.9034,,56177,13.31,19.65,1,99.88,6.045316,-72.081812,0.0,0.0
80969,41.2101,25.5212,,80969,13.31,25.13,1,100.0,6.060817,-72.074194,0.0,0.0
94838,4.1926,43.8687,,94838,13.33,23.02,1,100.0,6.027408,-72.069098,0.0,0.0
46095,-13.2642,-12.7217,,46095,13.34,21.32,1,99.9,6.011647,-72.084817,0.0,0.0
127975,-79.0747,113.2777,,127975,13.34,23.96,1,100.0,5.952354,-72.049818,0.0,0.0
69236,22.4703,11.9797,,69236,13.35,21.87,1,100.0,6.043908,-72.077956,0.0,0.0
102603,-23.5595,55.6269,,102603,13.35,25.49,1,100.0,6.002371,-72.065832,0.0,0.0
103613,34.7356,57.3439,,103613,13.35,27.0,1,100.0,6.054959,-72.065355,0.0,0.0
104154,13.2137,58.2335,,104154,13.35,24.2,1,100.0,6.035544,-72.065108,0.0,0.0
98089,-17.9443,48.5554,,98089,13.36,20.4,1,99.95,6.007436,-72.067796,0.0,0.0
